Kingdom,Phylum,Class,Order,Family,Genus,total_counts,Flight-February,Flight-April,Ground-February,Ground-April,month_presence,area_presence,presence_type
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 2,141,0,141,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 6,5,0,0,5,0,Only February,Only Ground,Only February-Ground
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Proteiniclasticum,7,7,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Sarcina,85,0,0,0,85,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Agathobacter,8,8,0,0,0,Only February,Only Flight,Only February-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostignum,9,0,9,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,257,0,184,0,73,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,871,5,544,0,322,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Cellulosilyticum,562,0,342,5,215,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Coprococcus,356,0,274,0,82,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Dorea,153,0,65,0,88,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Eisenbergiella,40,0,0,0,40,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,103,0,76,0,27,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,105,0,100,0,5,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,GCA-900066575,20,0,20,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Hungatella,387,0,231,0,156,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,826,0,570,0,256,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospira,507,0,290,0,217,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NC2004 group,20,0,0,0,20,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae ND3007 group,173,0,132,0,41,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4A136 group,352,0,202,0,150,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae NK4B4 group,6,0,6,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-001,19,0,0,0,19,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-003,34,0,34,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-004,141,0,141,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae UCG-007,398,0,244,23,131,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Oribacterium,37,0,24,0,13,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Robinsoniella,395,0,196,0,199,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,960,0,517,0,443,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Sellimonas,40,12,28,0,0,Both months,Only Flight,Only Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Stomatobaculum,25,0,0,0,25,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tuzzerella,75,0,75,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella,9,0,0,0,9,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,UC5-1-2E3,28,0,28,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] eligens group,582,0,230,0,352,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] hallii group,168,10,91,0,67,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] oxidoreducens group,12,0,12,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] ruminantium group,11,0,11,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Eubacterium] xylanophilum group,34,0,16,0,18,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] gauvreauii group,98,0,0,0,98,Only April,Only Ground,Only April-Ground
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] gnavus group,484,0,336,0,148,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,[Ruminococcus] torques group,299,0,102,0,197,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Monoglobales,Monoglobaceae,Monoglobus,151,0,79,0,72,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,Butyricicoccus,216,0,166,3,47,Both months,Both sites,All except April-flight
Bacteria,Firmicutes,Clostridia,Oscillospirales,Butyricicoccaceae,UCG-009,19,0,19,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Colidextribacter,89,0,56,0,33,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Flavonifractor,379,0,222,0,157,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Intestinimonas,65,0,49,0,16,Only April,Both sites,Only April
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,NK4A214 group,85,0,85,0,0,Only April,Only Flight,Only April-Flight
Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,806,0,490,0,316,Only April,Both sites,Only April
